,ds,y
429,18:01:2018 21:30:01,86.51
430,18:01:2018 21:33:01,95.88
431,18:01:2018 21:36:01,85.2
432,18:01:2018 21:39:01,92.95
433,18:01:2018 21:42:01,89.4
434,18:01:2018 21:45:01,85.8
435,18:01:2018 21:48:01,96.64
436,18:01:2018 21:51:01,84.9
437,18:01:2018 21:54:01,92.48
438,18:01:2018 21:57:01,89.82
439,18:01:2018 22:00:01,86.51
440,18:01:2018 22:03:01,95.82
441,18:01:2018 22:06:01,85.44
442,18:01:2018 22:09:01,92.35
443,18:01:2018 22:12:01,90.45
444,18:01:2018 22:15:01,86.72
445,18:01:2018 22:18:01,95.78
446,18:01:2018 22:21:01,85.46
447,18:01:2018 22:24:01,91.27
448,18:01:2018 22:27:01,91.36
449,18:01:2018 22:30:02,86.16
450,18:01:2018 22:33:01,96.74
451,18:01:2018 22:36:01,85.25
452,18:01:2018 22:39:01,90.51
453,18:01:2018 22:42:01,92.33
454,18:01:2018 22:45:01,86.54
455,18:01:2018 22:48:01,96.47
456,18:01:2018 22:51:01,85.55
457,18:01:2018 22:54:01,92.44
458,18:01:2018 22:57:01,90.34
459,18:01:2018 23:00:02,86.97
460,18:01:2018 23:03:01,95.63
461,18:01:2018 23:06:01,85.66
462,18:01:2018 23:09:01,91.67
463,18:01:2018 23:12:01,90.94
464,18:01:2018 23:15:01,86.15
465,18:01:2018 23:18:01,96.73
466,18:01:2018 23:21:01,85.28
467,18:01:2018 23:24:01,91.26
468,18:01:2018 23:27:01,91.71
469,18:01:2018 23:30:01,86.46
470,18:01:2018 23:33:01,96.49
471,19:01:2018 0:03:01,89.28
472,19:01:2018 0:06:01,91.55
473,19:01:2018 0:09:01,86.05
474,19:01:2018 0:12:01,96.66
475,19:01:2018 0:15:01,85.87
476,19:01:2018 0:18:01,90.05
477,19:01:2018 0:21:01,92.03
478,19:01:2018 0:24:02,86.46
479,19:01:2018 0:27:01,95.77
480,19:01:2018 0:30:01,86.27
481,19:01:2018 0:33:01,92.2
482,19:01:2018 0:36:01,89.36
483,19:01:2018 0:39:01,86.58
484,19:01:2018 0:42:01,95.81
485,19:01:2018 0:45:01,86.38
486,19:01:2018 0:48:01,92.07
487,19:01:2018 0:51:01,89.61
488,19:01:2018 0:54:01,86.33
489,19:01:2018 0:57:01,96.21
490,19:01:2018 1:00:01,85.95
491,19:01:2018 1:03:01,92.06
492,19:01:2018 1:06:01,89.31
493,19:01:2018 1:09:01,86.37
494,19:01:2018 1:12:01,95.85
495,19:01:2018 1:15:01,85.98
496,19:01:2018 1:18:01,91.98
497,19:01:2018 1:21:01,89.44
498,19:01:2018 1:24:01,85.62
499,19:01:2018 1:27:01,96.36
500,19:01:2018 1:30:02,86.22
501,19:01:2018 1:33:01,91.53
502,19:01:2018 1:36:01,89.87
503,19:01:2018 1:39:01,86.27
504,19:01:2018 1:42:01,96.17
505,19:01:2018 1:45:01,85.94
506,19:01:2018 1:48:01,92.0
507,19:01:2018 1:51:01,89.75
508,19:01:2018 1:54:01,86.56
509,19:01:2018 1:57:01,95.6
510,19:01:2018 2:00:01,85.98
511,19:01:2018 2:03:01,90.93
512,19:01:2018 2:06:02,90.28
513,19:01:2018 2:09:01,85.75
514,19:01:2018 2:12:01,96.56
515,19:01:2018 2:15:01,86.14
516,19:01:2018 2:18:01,91.11
517,19:01:2018 2:21:01,90.19
518,19:01:2018 2:24:01,86.35
519,19:01:2018 2:27:01,96.09
520,19:01:2018 2:30:01,85.83
521,19:01:2018 2:33:01,91.49
522,19:01:2018 2:36:01,90.2
523,19:01:2018 2:39:01,86.18
524,19:01:2018 2:42:01,95.77
525,19:01:2018 2:45:01,85.91
526,19:01:2018 2:48:01,91.04
527,19:01:2018 2:51:01,90.64
528,19:01:2018 2:54:01,85.99
529,19:01:2018 2:57:01,96.54
530,19:01:2018 3:00:01,85.93
531,19:01:2018 3:03:01,90.97
532,19:01:2018 3:06:01,90.52
533,19:01:2018 3:09:01,85.91
534,19:01:2018 3:12:01,96.16
535,19:01:2018 3:15:01,85.85
536,19:01:2018 3:18:01,91.29
537,19:01:2018 3:21:01,90.47
538,19:01:2018 3:24:01,86.47
539,19:01:2018 3:27:01,95.88
540,19:01:2018 3:30:02,85.95
541,19:01:2018 3:33:01,90.64
542,19:01:2018 3:36:01,91.23
543,19:01:2018 3:39:01,85.95
544,19:01:2018 3:42:01,96.62
545,19:01:2018 3:45:02,85.86
546,19:01:2018 3:48:01,88.94
547,19:01:2018 3:51:01,91.44
548,19:01:2018 3:54:01,86.28
549,19:01:2018 3:57:01,96.3
550,19:01:2018 4:00:01,85.85
551,19:01:2018 4:03:01,89.56
552,19:01:2018 4:06:01,91.76
553,19:01:2018 4:09:01,86.4
554,19:01:2018 4:12:01,96.11
555,19:01:2018 4:15:01,86.06
556,19:01:2018 4:18:01,89.21
557,19:01:2018 4:21:01,92.43
558,19:01:2018 4:24:01,86.11
559,19:01:2018 4:27:01,96.33
560,19:01:2018 4:30:01,85.73
561,19:01:2018 4:33:01,92.39
562,19:01:2018 4:36:01,89.19
563,19:01:2018 4:39:01,86.23
564,19:01:2018 4:42:02,96.1
565,19:01:2018 4:45:01,85.86
566,19:01:2018 4:48:01,92.55
567,19:01:2018 4:51:01,89.16
568,19:01:2018 4:54:02,86.7
569,19:01:2018 4:57:01,91.83
570,19:01:2018 5:00:01,86.08
571,19:01:2018 5:03:01,91.56
572,19:01:2018 5:06:01,89.47
573,19:01:2018 5:09:01,86.16
574,19:01:2018 5:12:01,96.31
575,19:01:2018 5:15:01,85.78
576,19:01:2018 5:18:01,92.42
577,19:01:2018 5:21:01,89.4
578,19:01:2018 5:24:01,86.24
579,19:01:2018 5:27:01,96.0
580,19:01:2018 5:30:01,85.89
581,19:01:2018 5:33:01,92.43
582,19:01:2018 5:36:01,89.13
583,19:01:2018 5:39:01,86.65
584,19:01:2018 5:42:01,95.9
585,19:01:2018 5:45:01,86.28
586,19:01:2018 5:48:01,91.72
587,19:01:2018 5:51:01,89.59
588,19:01:2018 5:54:01,86.08
589,19:01:2018 5:57:01,96.26
590,19:01:2018 6:00:01,85.75
591,19:01:2018 6:03:01,91.44
592,19:01:2018 6:06:01,90.1
593,19:01:2018 6:09:01,86.32
594,19:01:2018 6:12:01,96.09
595,19:01:2018 6:15:01,85.65
596,19:01:2018 6:18:01,91.59
597,19:01:2018 6:21:01,90.1
598,19:01:2018 6:24:01,86.76
599,19:01:2018 6:27:01,95.97
600,19:01:2018 6:30:01,86.3
601,19:01:2018 6:33:01,91.03
602,19:01:2018 6:36:01,90.42
603,19:01:2018 6:39:01,86.09
604,19:01:2018 6:42:01,96.4
605,19:01:2018 6:45:01,85.59
606,19:01:2018 6:48:01,91.86
607,19:01:2018 6:51:01,89.28
608,19:01:2018 6:54:01,86.26
609,19:01:2018 6:57:01,96.11
610,19:01:2018 7:00:01,85.67
611,19:01:2018 7:03:01,90.88
612,19:01:2018 7:06:01,90.25
613,19:01:2018 7:09:01,86.73
614,19:01:2018 7:12:01,95.89
615,19:01:2018 7:15:01,86.0
616,19:01:2018 7:18:01,90.84
617,19:01:2018 7:21:01,90.36
618,19:01:2018 7:24:01,85.96
619,19:01:2018 7:27:01,96.46
620,19:01:2018 7:30:01,85.52
621,19:01:2018 7:33:02,91.24
622,19:01:2018 7:36:01,90.54
623,19:01:2018 7:39:01,86.2
624,19:01:2018 7:42:01,96.0
625,19:01:2018 7:45:02,85.73
626,19:01:2018 7:48:01,90.84
627,19:01:2018 7:51:01,90.83
628,19:01:2018 7:54:01,86.07
629,19:01:2018 7:57:01,94.72
630,19:01:2018 8:00:01,85.95
631,19:01:2018 8:03:01,90.02
632,19:01:2018 8:06:01,90.7
633,19:01:2018 8:09:01,81.61
634,19:01:2018 8:12:01,94.33
635,19:01:2018 8:15:01,85.24
636,19:01:2018 8:18:01,90.91
637,19:01:2018 8:21:01,90.78
638,19:01:2018 8:24:01,86.48
639,19:01:2018 8:27:01,96.01
640,19:01:2018 8:30:01,85.52
641,19:01:2018 8:33:01,89.65
642,19:01:2018 8:36:01,92.01
643,19:01:2018 8:39:01,86.59
644,19:01:2018 8:42:01,95.86
645,19:01:2018 8:45:01,86.33
646,19:01:2018 8:48:01,88.94
647,19:01:2018 8:51:01,91.93
648,19:01:2018 8:54:01,85.75
649,19:01:2018 8:57:01,96.03
650,19:01:2018 9:00:01,85.78
651,19:01:2018 9:03:01,91.64
652,19:01:2018 9:06:01,89.71
653,19:01:2018 9:09:01,86.48
654,19:01:2018 9:12:01,95.81
655,19:01:2018 9:15:01,85.54
656,19:01:2018 9:18:01,90.81
657,19:01:2018 9:21:01,90.34
658,19:01:2018 9:24:01,86.3
659,19:01:2018 9:27:01,95.72
660,19:01:2018 9:30:01,85.85
661,19:01:2018 9:33:01,90.81
662,19:01:2018 9:36:01,90.55
663,19:01:2018 9:39:01,84.41
664,19:01:2018 9:42:01,90.3
665,19:01:2018 9:45:01,85.51
666,19:01:2018 9:48:01,91.25
667,19:01:2018 9:51:01,90.47
668,19:01:2018 9:54:01,86.12
669,19:01:2018 9:57:01,95.89
670,19:01:2018 10:00:01,85.37
671,19:01:2018 10:03:01,89.84
672,19:01:2018 10:06:01,91.07
673,19:01:2018 10:09:01,86.18
674,19:01:2018 10:12:01,96.0
675,19:01:2018 10:15:01,86.03
676,19:01:2018 10:18:01,90.58
677,19:01:2018 10:21:01,90.62
