19:01:2018:4:09:01,86.40
19:01:2018:4:12:01,96.11
19:01:2018:4:15:01,86.06
19:01:2018:4:18:01,89.21
19:01:2018:4:21:01,92.43
19:01:2018:4:24:01,86.11
19:01:2018:4:27:01,96.33
19:01:2018:4:30:01,85.73
19:01:2018:4:33:01,92.39
19:01:2018:4:36:01,89.19
19:01:2018:4:39:01,86.23
19:01:2018:4:42:02,96.10
19:01:2018:4:45:01,85.86
19:01:2018:4:48:01,92.55
19:01:2018:4:51:01,89.16
19:01:2018:4:54:02,86.70
19:01:2018:4:57:01,91.83
19:01:2018:5:00:01,86.08
19:01:2018:5:03:01,91.56
19:01:2018:5:06:01,89.47
19:01:2018:5:09:01,86.16
19:01:2018:5:12:01,96.31
19:01:2018:5:15:01,85.78
19:01:2018:5:18:01,92.42
19:01:2018:5:21:01,89.40
19:01:2018:5:24:01,86.24
19:01:2018:5:27:01,96.00
19:01:2018:5:30:01,85.89
19:01:2018:5:33:01,92.43
19:01:2018:5:36:01,89.13
19:01:2018:5:39:01,86.65
19:01:2018:5:42:01,95.90
19:01:2018:5:45:01,86.28
19:01:2018:5:48:01,91.72
19:01:2018:5:51:01,89.59
19:01:2018:5:54:01,86.08
19:01:2018:5:57:01,96.26
19:01:2018:6:00:01,85.75
19:01:2018:6:03:01,91.44
19:01:2018:6:06:01,90.10
19:01:2018:6:09:01,86.32
19:01:2018:6:12:01,96.09
19:01:2018:6:15:01,85.65
19:01:2018:6:18:01,91.59
19:01:2018:6:21:01,90.10
19:01:2018:6:24:01,86.76
19:01:2018:6:27:01,95.97
19:01:2018:6:30:01,86.30
19:01:2018:6:33:01,91.03
19:01:2018:6:36:01,90.42
19:01:2018:6:39:01,86.09
19:01:2018:6:42:01,96.40
19:01:2018:6:45:01,85.59
19:01:2018:6:48:01,91.86
19:01:2018:6:51:01,89.28
19:01:2018:6:54:01,86.26
19:01:2018:6:57:01,96.11
19:01:2018:7:00:01,85.67
19:01:2018:7:03:01,90.88
19:01:2018:7:06:01,90.25
19:01:2018:7:09:01,86.73
19:01:2018:7:12:01,95.89
19:01:2018:7:15:01,86.00
19:01:2018:7:18:01,90.84
19:01:2018:7:21:01,90.36
19:01:2018:7:24:01,85.96
19:01:2018:7:27:01,96.46
19:01:2018:7:30:01,85.52
19:01:2018:7:33:02,91.24
19:01:2018:7:36:01,90.54
19:01:2018:7:39:01,86.20
19:01:2018:7:42:01,96.00
19:01:2018:7:45:02,85.73
19:01:2018:7:48:01,90.84
19:01:2018:7:51:01,90.83
19:01:2018:7:54:01,86.07
19:01:2018:7:57:01,94.72
19:01:2018:8:00:01,85.95
19:01:2018:8:03:01,90.02
19:01:2018:8:06:01,90.70
19:01:2018:8:09:01,81.61
19:01:2018:8:12:01,94.33
19:01:2018:8:15:01,85.24
19:01:2018:8:18:01,90.91
19:01:2018:8:21:01,90.78
19:01:2018:8:24:01,86.48
19:01:2018:8:27:01,96.01
19:01:2018:8:30:01,85.52
19:01:2018:8:33:01,89.65
19:01:2018:8:36:01,92.01
19:01:2018:8:39:01,86.59
19:01:2018:8:42:01,95.86
19:01:2018:8:45:01,86.33
19:01:2018:8:48:01,88.94
19:01:2018:8:51:01,91.93
19:01:2018:8:54:01,85.75
19:01:2018:8:57:01,96.03
19:01:2018:9:00:01,85.78
19:01:2018:9:03:01,91.64
19:01:2018:9:06:01,89.71
19:01:2018:9:09:01,86.48
19:01:2018:9:12:01,95.81
19:01:2018:9:15:01,85.54
19:01:2018:9:18:01,90.81
19:01:2018:9:21:01,90.34
19:01:2018:9:24:01,86.30
19:01:2018:9:27:01,95.72
19:01:2018:9:30:01,85.85
19:01:2018:9:33:01,90.81
19:01:2018:9:36:01,90.55
19:01:2018:9:39:01,84.41
19:01:2018:9:42:01,90.30
19:01:2018:9:45:01,85.51
19:01:2018:9:48:01,91.25
19:01:2018:9:51:01,90.47
19:01:2018:9:54:01,86.12
19:01:2018:9:57:01,95.89
19:01:2018:10:00:01,85.37
19:01:2018:10:03:01,89.84
19:01:2018:10:06:01,91.07
19:01:2018:10:09:01,86.18
19:01:2018:10:12:01,96.00
19:01:2018:10:15:01,86.03
19:01:2018:10:18:01,90.58
19:01:2018:10:21:01,90.62
19:01:2018:10:24:01,85.92
19:01:2018:10:27:02,96.27
19:01:2018:10:30:01,85.58
19:01:2018:10:33:01,91.02
19:01:2018:10:36:01,90.41
19:01:2018:10:39:01,86.07
19:01:2018:10:42:01,96.07
19:01:2018:10:45:01,85.76
19:01:2018:10:48:01,90.70
19:01:2018:10:51:01,90.83
19:01:2018:10:54:01,85.75
19:01:2018:10:57:01,96.60
19:01:2018:11:00:02,86.17
19:01:2018:11:03:01,90.24
19:01:2018:11:06:02,90.43
19:01:2018:11:09:01,85.91
19:01:2018:11:12:01,96.19
19:01:2018:11:15:01,85.57
19:01:2018:11:18:01,91.26
19:01:2018:11:21:01,90.33
19:01:2018:11:24:01,86.27
19:01:2018:11:27:01,95.93
19:01:2018:11:30:01,85.77
19:01:2018:11:33:01,90.77
19:01:2018:11:36:01,90.79
19:01:2018:11:39:01,85.74
19:01:2018:11:42:01,96.62
19:01:2018:11:45:01,86.07
19:01:2018:11:48:01,90.52
19:01:2018:11:51:01,90.71
19:01:2018:11:54:01,85.85
19:01:2018:11:57:01,96.22
19:01:2018:12:00:01,85.45
19:01:2018:12:03:01,90.60
19:01:2018:12:06:01,90.55
19:01:2018:12:09:01,86.28
19:01:2018:12:12:01,95.92
19:01:2018:12:15:01,85.89
19:01:2018:12:18:01,90.92
19:01:2018:12:21:01,90.79
19:01:2018:12:24:01,85.95
19:01:2018:12:27:01,96.63
19:01:2018:12:30:01,86.28
19:01:2018:12:33:02,91.02
19:01:2018:12:36:01,90.60
19:01:2018:12:39:01,86.17
19:01:2018:12:42:01,96.15
19:01:2018:12:45:01,85.60
19:01:2018:12:48:01,91.19
19:01:2018:12:51:01,90.24
19:01:2018:12:54:01,86.35
19:01:2018:12:57:01,95.83
19:01:2018:13:00:01,85.92
19:01:2018:13:03:01,90.42
19:01:2018:13:06:02,90.71
19:01:2018:13:09:01,85.82
19:01:2018:13:12:01,96.58
19:01:2018:13:15:01,85.66
19:01:2018:13:18:01,91.10
19:01:2018:13:21:01,90.67
19:01:2018:13:24:01,86.04
19:01:2018:13:27:01,96.16
19:01:2018:13:30:01,85.71
19:01:2018:13:33:01,90.93
19:01:2018:13:36:01,90.70
19:01:2018:13:39:01,86.41
19:01:2018:13:42:01,96.01
19:01:2018:13:45:01,85.87
19:01:2018:13:48:01,90.24
19:01:2018:13:51:01,91.27
19:01:2018:13:54:01,85.85
19:01:2018:13:57:01,96.58
19:01:2018:14:00:01,85.73
19:01:2018:14:03:01,90.03
19:01:2018:14:06:01,91.50
19:01:2018:14:09:01,86.09
19:01:2018:14:12:01,96.36
19:01:2018:14:15:01,85.70
19:01:2018:14:18:01,90.12
19:01:2018:14:21:01,91.56
19:01:2018:14:24:02,86.43
19:01:2018:14:27:01,95.91
19:01:2018:14:30:01,85.91
19:01:2018:14:33:01,89.14
19:01:2018:14:36:01,92.49
19:01:2018:14:39:02,85.99
19:01:2018:14:42:01,96.31
19:01:2018:14:45:01,85.78
19:01:2018:14:48:01,92.39
19:01:2018:14:51:01,89.37
19:01:2018:14:54:02,86.30
19:01:2018:14:57:01,96.07
19:01:2018:15:00:01,85.45
19:01:2018:15:03:01,91.94
19:01:2018:15:06:01,89.28
19:01:2018:15:09:01,86.66
19:01:2018:15:12:01,95.84
19:01:2018:15:15:02,86.12
19:01:2018:15:18:01,91.75
19:01:2018:15:21:01,89.88
19:01:2018:15:24:01,85.94
19:01:2018:15:27:01,96.46
19:01:2018:15:30:01,85.71
19:01:2018:15:33:01,91.82
19:01:2018:15:36:01,89.71
19:01:2018:15:39:01,86.19
19:01:2018:15:42:01,96.10
19:01:2018:15:45:01,85.87
19:01:2018:15:48:01,91.96
19:01:2018:15:51:01,89.76
19:01:2018:15:54:01,86.29
19:01:2018:15:57:01,95.71
19:01:2018:16:00:01,85.95
19:01:2018:16:03:01,90.45
19:01:2018:16:06:01,90.29
19:01:2018:16:09:01,85.83
19:01:2018:16:12:01,96.45
19:01:2018:16:15:01,85.50
19:01:2018:16:18:01,91.35
19:01:2018:16:21:01,90.21
19:01:2018:16:24:01,86.12
